hostNC,hostphylum,hostclass,hostorder,hostfamily,hostgenus
NZ_CP066771.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
NZ_CP067014.1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NZ_CP068211.1,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
NZ_CP069563.1,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
NZ_CP071982.1,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
NZ_CP072186.1,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella
NZ_CP072268.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NZ_CP072613.1,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter
NZ_CP072994.1,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Loktanella
NZ_CP074578.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_CP075564.1,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
NZ_CP075979.1,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
NZ_CP076105.1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
NZ_CP076401.1,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides
NZ_CP077366.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
NZ_CP079698.1,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus
NZ_CP082833.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
NZ_CP084096.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
NZ_CP084521.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
NZ_CP089203.1,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
NZ_CP098611.1,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium
NZ_CP110645.1,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
NZ_CP119325.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_CP127126.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_HG999362.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
NZ_LR699007.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella
NZ_LR822015.1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
NZ_LS483377.1,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
NZ_LT963402.1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
NZ_OU015708.1,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
NZ_OW968328.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
NZ_OX337252.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
NZ_OX461105.1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
